country_of_origin,farm_name,lot_number,mill,ico_number,company,altitude,region,producer,number_of_bags,bag_weight,in-country_partner,harvest_year,grading_date,owner,variety,status,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,overall,defects,total_cup_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration,certification_body,certification_address,certification_contact,bean_type,mouthfeel,uniform_cup,bitter_and_sweet,salt_and_acid,fragrance_and_aroma
Thailand,Coffee De Hmong Bio Farm,2024,Coffee De Hmong Roaster,,Coffee De Hmong Bio Farm,1443,เอเชีย,Wichai kamnerdmongkon,1,10.0,Specialty Coffee Institute of Thailand,2019 / 2020,2024-10-29,Wichai Kamnerdmongkhon,Gesha,Completed,Washed / Wet,8.67,8.5,8.33,8.0,8.08,8.33,10.0,10,10.0,8.42,0,88.33,0.11199999999999999,0.0,0,,0.0,2025-10-29,Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492",arabica,,,,,
Thailand,PHU CHEE DEUN COFFEE FARMER,1,Mogojubean,,PHU CHEE DEUN COFFEE FARMER,1450,North,PHU CHEE DEUN COFFEE FARMER,1,8.0,Specialty Coffee Institute of Thailand,2024 / 2025,2025-07-08,Phongsathorn Khunta,Gesha,Completed,Natural / Dry,8.25,8.5,8.33,8.25,8.17,8.17,10.0,10,10.0,8.33,0,88.0,0.111,0.0,0,Green Fresh,0.0,2026-07-08,Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492",arabica,,,,,
Thailand,Natee coffee estate,#G2025001,Natee coffee estate,,Natee coffee estate,1350-1400,Chaing Rai,Natee Santiphoomsawan,1,7.0,SOCOF Lab,2024 / 2025,2025-10-02,Natee Santiphoomsawan,Gesha,Completed,Natural / Dry,8.42,8.42,8.17,8.17,8.08,8.17,10.0,10,10.0,8.25,0,87.67,0.09699999999999999,0.0,0,Green,0.0,2026-10-02,SOCOF Lab,"(Ministry of Roasters)199 Chang Moi , Mueng Chiang Mai, 53000 Thailand",Anuwat Kobnampetch - whatsapp +66 925524446,arabica,,,,,
Thailand,Ma Gor Loe Coffee Farm,2,Hulling Facility,,Ma Gor Loe Coffee Farm,1200,Chiangmai,Chaloempong Funna,1,8.0,Specialty Coffee Institute of Thailand,2025,2025-08-26,Chaloempong Funna,Gesha,Completed,Natural / Dry,8.25,8.33,8.25,8.17,8.17,8.25,10.0,10,10.0,8.25,0,87.67,0.129,0.0,0,Yellowish,0.0,2026-08-26,Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492",arabica,,,,,
Thailand,Slowna,2025012,"Gemforestcoffee LTD.,Part",,SlownaCoffee,1400,Nan,Pornpipat,1,7.0,SOCOF Lab,2024 / 2025,2025-10-02,Pornpipat,Catimor,Completed,Natural / Dry,8.33,8.33,8.08,8.25,8.08,8.08,10.0,10,10.0,8.33,0,87.5,0.109,0.0,0,Brownish,0.0,2026-10-02,SOCOF Lab,"(Ministry of Roasters)199 Chang Moi , Mueng Chiang Mai, 53000 Thailand",Anuwat Kobnampetch - whatsapp +66 925524446,arabica,,,,,
Thailand,Ma Gor Loe Coffee Farm,1,Hulling Facility,,Ma Gor Loe Coffee Farm,1200,Chiangmai,Chaloempong Funna,1,8.0,Specialty Coffee Institute of Thailand,2025,2025-07-08,Parichat Saensong,Gesha,Completed,Natural / Dry,8.17,8.25,8.0,8.33,8.08,8.17,10.0,10,10.0,8.5,0,87.5,0.122,0.0,0,Green,0.0,2026-07-08,Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492",arabica,,,,,
Thailand,V Saking,#1225,"Gemforestcoffee LTD.,Part",,Nan Saking Coffee,1200,Nan,Mrs.Pimpha,1,7.0,SOCOF Lab,2020 / 2021,2025-10-02,Pimpha,Gesha,Completed,Washed / Wet,8.33,8.25,8.08,8.08,8.25,8.25,10.0,10,10.0,8.25,0,87.5,0.095,0.0,0,Green,3.0,2026-10-02,SOCOF Lab,"(Ministry of Roasters)199 Chang Moi , Mueng Chiang Mai, 53000 Thailand",Anuwat Kobnampetch - whatsapp +66 925524446,arabica,,,,,
Thailand,Ban phuvaeview,2025004,Manipruek,,Baan phuvaeview,1480,Nan,Kanjana inja,1,8.0,SOCOF Lab,2024 / 2025,2025-10-02,Kanjana inja,Gesha,Completed,Natural / Dry,8.33,8.33,8.17,8.08,7.92,8.17,10.0,10,10.0,8.42,0,87.42,0.1,0.0,0,Yellow-Green,0.0,2026-10-02,SOCOF Lab,"(Ministry of Roasters)199 Chang Moi , Mueng Chiang Mai, 53000 Thailand",Anuwat Kobnampetch - whatsapp +66 925524446,arabica,,,,,
Ethiopia,Abera Farm,2,Abera Milling staion,010/0398,Abebe mulgeta Genet Trading,1800-2200,SNNP Gedeo Zone,Abera Hailemariyam,1600,96000.0,METAD Agricultural Development plc,2024 / 2025,2025-04-08,Abebe Mulgeta,Ethiopian Yirgacheffe,Completed,Natural / Dry,8.0,8.25,8.17,8.33,8.33,8.0,10.0,10,10.0,8.08,0,87.17,0.08900000000000001,0.0,3,Yellow green,1.0,2026-04-08,METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",arabica,,,,,
Taiwan,卓武山咖啡,C09,卓武山咖啡,,Taiwan Coffee Laboratory,1200,嘉義/阿里山鄉,許峻榮,1,2.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,2025-09-26,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Pulped natural / honey,8.17,8.25,8.17,8.17,8.08,8.08,10.0,10,10.0,8.25,0,87.17,0.091,0.0,0,Bluish-Green,0.0,2026-09-26,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Ethiopia,Nefarious Silk - Lafto,Natural Gesha gr.1 2025-P0099,Woreda 02 Addis Abeba,01021260004,Daarnhouwer,1100,Bench Maji,South BurshaTrading PLC,100,30.0,METAD Agricultural Development plc,2024 / 2025,2025-04-17,Hans Zevenhek,Gesha,Completed,Natural / Dry,8.08,8.08,8.17,8.33,8.08,8.0,10.0,10,10.0,8.33,0,87.08,0.098,1.0,7,Yellow Green,14.0,2026-04-17,METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",arabica,,,,,
Ethiopia,Sakicha kebele,Natural Guji Gr.1 Sakicha 2025-P0535,Bulehora District West Guji Oromia,01001400207,Daarnhouwer,2000,"Sakicha kebele, Bulehora District, West Guji Zone, Oromia",Aklilu Kassa Chrissa,100,60.0,METAD Agricultural Development plc,2024 / 2025,2025-09-10,Hans Zevenhek,Ethiopian Heirlooms,Completed,Natural / Dry,8.0,8.17,8.17,8.25,8.25,8.08,10.0,10,10.0,8.08,0,87.0,0.10099999999999999,0.0,2,Yellow Green,5.0,2026-09-10,METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",arabica,,,,,
Taiwan,頭櫃山景觀生態咖啡農場,"2024 Sustainable Specialty Coffee Farm Awards,S072",頭櫃山景觀生態咖啡農場,,Taiwan Coffee Laboratory,1050,"台中市新社區 Xinshe Dist., Taichung City","賴建益 LAI,JIAN-YI",1,8.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Pulped natural / honey,8.17,8.25,8.08,8.17,7.92,8.08,10.0,10,10.0,8.33,0,87.0,0.10099999999999999,0.0,0,Greenish,2.0,2025-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Taiwan,鄒築園 Zou Zhou Yuan,"2024 Sustainable Specialty Coffee Farm Awards,S068",鄒築園 Zou Zhou Yuan,,Taiwan Coffee Laboratory,1300,"嘉義縣阿里山鄉 Alishan Township, Chiayi County","方政倫 FANG, CHENG-LUN",1,8.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.33,8.17,8.08,8.08,8.0,8.08,10.0,10,10.0,8.25,0,87.0,0.11599999999999999,0.0,0,Bluish-Green,0.0,2025-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Vietnam,Công ty TNHH CARABU COFFEE,A032,Công ty TNHH CARABU COFFEE,,"carabu coffee, co, ltd",500,Buôn Ma Thuột,Hoàng Mạnh Tường,2000,1.0,HQJ Coffee School,2024 / 2025,2025-07-09,carabu,AH1,Completed,Natural / Dry,8.5,8.25,8.08,8.08,8.08,7.83,10.0,10,10.0,8.17,0,87.0,0.11,0.0,0,Green,0.0,2026-07-09,HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008,arabica,,,,,
Taiwan,牛磨角庄園 Gû Buâ Kak Estate,"2024 Sustainable Specialty Coffee Farm Awards,S003",牛磨角庄園 Gû Buâ Kak Estate,,Taiwan Coffee Laboratory,1200,"嘉義縣梅山鄉 Meishan Township, Chiayi County","陳秉汯 CHEN, BING-HONG",1,8.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Pulped natural / honey,8.0,8.17,8.0,8.33,8.17,8.08,10.0,10,10.0,8.17,0,86.92,0.11199999999999999,0.0,0,Greenish,2.0,2025-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Vietnam,Công ty TNHH MTV Rẫy Rừng,A203,Công ty TNHH MTV Rẫy Rừng,,Ray Rung Limited Company,1400,"Thôn Đắk Bờ Rồ, Xã Đắk Tăng, Huyện Kon Plông, Tỉnh Kon Tum",Bùi Lê Băng,1500,1.0,HQJ Coffee School,2024 / 2025,2025-07-09,Thang Ho Hoang Minh,"Catimor, TH1, THA1",Completed,Natural / Dry,8.33,8.17,8.0,8.17,8.08,8.08,10.0,10,10.0,8.08,0,86.92,0.11,0.0,0,Green,0.0,2026-07-09,HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008,arabica,,,,,
Taiwan,名陽園,C17,名陽園,,Taiwan Coffee Laboratory,1500,嘉義/竹崎鄉,王政淵,1,2.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,2025-09-26,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.17,8.25,8.25,8.0,8.08,8.08,10.0,10,10.0,8.08,0,86.92,0.102,0.0,0,Bluish-Green,0.0,2026-09-26,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Thailand,Ma Gor Loe Coffee Farm,1,Hulling Facility,,Ma Gor Loe Coffee Farm,"1,200-1,300","Doi Saket, Chiangmai",Paranya Nanthakun,1,10.0,Specialty Coffee Institute of Thailand,2023 / 2024,2024-10-29,Paranya Nanthakun,Gesha,Completed,Natural / Dry,8.42,8.33,8.0,8.08,7.92,7.92,10.0,10,10.0,8.17,0,86.83,0.1,0.0,0,yellow -green,0.0,2025-10-29,Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492",arabica,,,,,
Vietnam,Công ty Cổ phần Hạt Rừng,A654,Công ty Cổ phần Hạt Rừng,,THE FOREST BEANS JOINT STOCK COMPANY,1580,"Thôn Trường Sơn, Xã Xuân Trường, Đà Lạt, Lâm Đồng",Nguyễn Hữu Yên,3000,1.0,HQJ Coffee School,2024 / 2025,2025-07-09,Hạt Rừng,Catimor,Completed,Washed / Wet,8.25,8.17,7.92,8.17,8.08,8.0,10.0,10,10.0,8.17,0,86.75,0.11,0.0,0,Green,0.0,2026-07-09,HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008,arabica,,,,,
