Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Fragrance / Aroma,Flavor,Aftertaste,Salt / Acid,Bitter / Sweet,Mouthfeel,Uniform Cup,Clean Cup,Balance,Overall,Defects,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA,Expiration,Certification Body,Certification Address,Certification Contact
Vietnam,Tinh Farm,Nat01,drying,,Vietnam,560,daklak,Tinh Farm,6,60 kg,STONE VILLAGE LAB VIETNAM,2025,"August 7th, 2025",Tinh Farm,,Completed,Natural / Dry,8.67,8.58,8.42,8.42,8.5,8.33,10.0,10.0,8.5,8.58,0.0,88.0,11.9 %,0 full defects,0,Pale Yellow,0 full defects,,"August 7th, 2026",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
Vietnam,HAYA BEAN,HAYA 1,dry mill,,HAYA BEAN,700-900,Huyện Đak Đoa,HAYA BEAN,21,60 kg,STONE VILLAGE LAB VIETNAM,2024 / 2025,"May 19th, 2025",namyangcoopvn,SẺ,Completed,Natural / Dry,8.58,8.5,8.42,8.42,8.42,8.33,10.0,10.0,8.42,8.42,0.0,87.5,10.6 %,0 full defects,1,Blue-Green,1 full defects,,"May 19th, 2026",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
Thailand,Leepee coffee,500,แปรรูป,,เกษตรกร,900,ภาคเหนือ,dry,20,8 kg,Specialty Coffee Institute of Thailand,2025,"August 26th, 2025",อาโช พิสัยเลิศ,,Completed,Natural / Dry,8.5,8.25,8.33,8.5,8.17,8.17,10.0,10.0,8.25,8.33,0.0,86.5,13.7 %,0 full defects,0,Pale Yellow,1 full defects,,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Thailand,Khunmuab coffee,R0012,Khunmuab coffee,,Khunmuab coffee,300,Nan,Nikom Wongtan,1,7 kg,SOCOF Lab,2024 / 2025,"October 2nd, 2025",Rittichai Sufu,K7,Completed,Natural / Dry,8.33,8.33,8.08,8.33,8.25,8.33,10.0,10.0,8.25,8.42,0.0,86.33,10.3 %,0 full defects,0,Yellow-Green,0 full defects,,"October 2nd, 2026",SOCOF Lab,"(Ministry of Roasters)199 Chang Moi , Mueng Chiang Mai, 53000 Thailand",Anuwat Kobnampetch - whatsapp +66 925524446
Vietnam,K'HO FINE ROBUSTA,RC1,"K""HO FINE ROBUSTA",,Babros Coffee Works,1200,"Don Duong, Lam Dong",K'HO FINE ROBUSTA,15,30 kg,STONE VILLAGE LAB VIETNAM,2025,"May 5th, 2025",BABROS COFFEE WORKS,CaDay,Completed,Yeast fermentation natural,8.25,8.42,8.17,8.25,8.33,8.25,10.0,10.0,8.25,8.33,0.0,86.25,12 %,0 full defects,1,Brownish,0 full defects,,"May 5th, 2026",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
Vietnam,True Cafe,2025,Vina Special True Cafe,,Vina Special True Cafe,850,Gia Lai,Vina Special True Cafe,1,60 kg,HQJ Coffee School,2024 / 2025,"April 7th, 2025",TRUE CAFE,Robusta,Completed,Natural / Dry,8.17,8.25,8.25,8.25,8.17,8.08,10.0,10.0,8.25,8.83,0.0,86.25,11.7 %,0 full defects,0,Green,1 full defects,,"April 7th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Thailand,Khao Pra Jao,KPJFG01,Dry Mill,,Coffee,150,Thasae,santisuk phutprom,2,100 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"August 26th, 2025",Santisuk Phutprom,,Completed,Natural / Dry,8.33,8.5,8.42,8.17,8.25,8.0,10.0,10.0,8.25,8.33,0.0,86.25,11.1 %,0 full defects,0,Yellow-Green,1 full defects,,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Vietnam,Công ty TNHH CARABU COFFEE,R219,Công ty TNHH CARABU COFFEE,,"carabu coffee, co, ltd",500,Buôn Ma Thuột,Hoàng Mạnh Tường,4000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",carabu,Ro Sẻ,Completed,Natural / Dry,8.33,8.33,8.25,8.42,8.25,8.17,10.0,10.0,8.17,8.25,0.0,86.17,11 %,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Vietnam,Công ty TNHH MEGARDEN COFFEE,R185,Công ty TNHH MEGARDEN COFFEE,,MeGarden Coffee,590,"Thôn 4, Xã Đắk Miu, TP Gia Nghĩa, Đắk Nông",Vũ Thành An,6000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",MeGarden Coffee,Mix,Completed,Natural / Dry,8.42,8.42,8.25,8.25,8.25,8.0,10.0,10.0,8.25,8.25,0.0,86.08,11 %,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Cambodia,MALLIKA,MALLIKA Lot #1994,Paul Coffee & Roastery Lab,,Paul Coffee & Roastery Lab,150,MEMOT,Oung Vuch Chhe,30,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 3rd, 2025","HSU,PO-HAN 許博涵",,Completed,Natural / Dry,8.33,8.17,8.17,8.25,8.5,8.17,10.0,10.0,8.25,8.17,0.0,86.0,11.1 %,0 full defects,0,Pale Yellow,3 full defects,,"September 3rd, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
