"","Country.of.Origin","Farm.Name","Lot.Number","Mill","ICO.Number","Company","Altitude","Region","Producer","Number.of.Bags","Bag.Weight","In.Country.Partner","Harvest.Year","Grading.Date","Owner","Variety","Status","Processing.Method","Fragrance...Aroma","Flavor","Aftertaste","Salt...Acid","Bitter...Sweet","Mouthfeel","Uniform.Cup","Clean.Cup","Balance","Overall","Defects","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Color","Category.Two.Defects","Expiration","Certification.Body","Certification.Address","Certification.Contact","unit_of_measurement","altitude_low_meters","altitude_high_meters","altitude_mean_meters"
"1","Vietnam","tinh farm","Nat01","drying","","vietnam","560","daklak","Tinh Farm",6,"60 kg","STONE VILLAGE LAB VIETNAM","2025","August 7th, 2025","tinh farm","","Completed","Natural / Dry",8.67,8.58,8.42,8.42,8.5,8.33,10,10,8.5,8.58,0,88,0.119,0,0,"Pale Yellow",0,"August 7th, 2026","STONE VILLAGE LAB VIETNAM","393fe6ab9d9f38b17708dfd0d34d0a7c7ba0fb43","06ce85988993ce7c3ba37b82efdb15e9e12ab34d","m",560,560,560
"2","Vietnam","haya bean","HAYA 1","dry mill","","haya bean","700-900","huyện đak đoa","HAYA BEAN",21,"60 kg","STONE VILLAGE LAB VIETNAM","2024 / 2025","May 19th, 2025","namyangcoopvn","SẺ","Completed","Natural / Dry",8.58,8.5,8.42,8.42,8.42,8.33,10,10,8.42,8.42,0,87.5,0.106,0,1,"Blue-Green",1,"May 19th, 2026","STONE VILLAGE LAB VIETNAM","393fe6ab9d9f38b17708dfd0d34d0a7c7ba0fb43","06ce85988993ce7c3ba37b82efdb15e9e12ab34d","m",700,900,800
"3","Thailand","leepee coffee","500","แปรรูป","","เกษตรกร","900","ภาคเหนือ","dry",20,"8 kg","Specialty Coffee Institute of Thailand","2025","August 26th, 2025","อาโช พิสัยเลิศ","","Completed","Natural / Dry",8.5,8.25,8.33,8.5,8.17,8.17,10,10,8.25,8.33,0,86.5,0.137,0,0,"Pale Yellow",1,"August 26th, 2026","Specialty Coffee Institute of Thailand","cd254f5d02fe4450b36e8a51c2a1060d0d62aeda","a5cfe32cd76b94992ddf70c8ace293bd3d196eb2","m",900,900,900
"4","Thailand","khunmuab coffee","R0012","khunmuab coffee","","khunmuab coffee","300","nan","Nikom Wongtan",1,"7 kg","SOCOF Lab","2024 / 2025","October 2nd, 2025","rittichai sufu","K7","Completed","Natural / Dry",8.33,8.33,8.08,8.33,8.25,8.33,10,10,8.25,8.42,0,86.33,0.103,0,0,"Yellow-Green",0,"October 2nd, 2026","SOCOF Lab","015024b7d7c5a3f2a0791938b235b06f54e8b9fb","0cf2619c0da34c0eef4ccae871f1817ce2f1baf8","m",300,300,300
"5","Vietnam","k'ho fine robusta","RC1","k""ho fine robusta","","babros coffee works","1200","don duong, lam dong","K'HO FINE ROBUSTA",15,"30 kg","STONE VILLAGE LAB VIETNAM","2025","May 5th, 2025","babros coffee works","CaDay","Completed","Yeast fermentation natural",8.25,8.42,8.17,8.25,8.33,8.25,10,10,8.25,8.33,0,86.25,0.12,0,1,"Brownish",0,"May 5th, 2026","STONE VILLAGE LAB VIETNAM","393fe6ab9d9f38b17708dfd0d34d0a7c7ba0fb43","06ce85988993ce7c3ba37b82efdb15e9e12ab34d","m",1200,1200,1200
"6","Vietnam","true cafe","2025","vina special true cafe","","vina special true cafe","850","gia lai","Vina Special True Cafe",1,"60 kg","HQJ Coffee School","2024 / 2025","April 7th, 2025","true cafe","Robusta","Completed","Natural / Dry",8.17,8.25,8.25,8.25,8.17,8.08,10,10,8.25,8.83,0,86.25,0.117,0,0,"Green",1,"April 7th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",850,850,850
"7","Thailand","khao pra jao","KPJFG01","dry mill","","coffee","150","thasae","santisuk phutprom",2,"100 kg","Specialty Coffee Institute of Thailand","2024 / 2025","August 26th, 2025","santisuk phutprom","","Completed","Natural / Dry",8.33,8.5,8.42,8.17,8.25,8,10,10,8.25,8.33,0,86.25,0.111,0,0,"Yellow-Green",1,"August 26th, 2026","Specialty Coffee Institute of Thailand","cd254f5d02fe4450b36e8a51c2a1060d0d62aeda","a5cfe32cd76b94992ddf70c8ace293bd3d196eb2","m",150,150,150
"8","Vietnam","công ty tnhh carabu coffee","R219","công ty tnhh carabu coffee","","carabu coffee, co, ltd","500","buôn ma thuột","Hoàng Mạnh Tường",4000,"1 kg","HQJ Coffee School","2024 / 2025","July 9th, 2025","carabu","Ro Sẻ","Completed","Natural / Dry",8.33,8.33,8.25,8.42,8.25,8.17,10,10,8.17,8.25,0,86.17,0.11,0,0,"Green",0,"July 9th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",500,500,500
"9","Vietnam","công ty tnhh megarden coffee","R185","công ty tnhh megarden coffee","","megarden coffee","590","thôn 4, xã đắk miu, tp gia nghĩa, đắk nông","Vũ Thành An",6000,"1 kg","HQJ Coffee School","2024 / 2025","July 9th, 2025","megarden coffee","Mix","Completed","Natural / Dry",8.42,8.42,8.25,8.25,8.25,8,10,10,8.25,8.25,0,86.08,0.11,0,0,"Green",0,"July 9th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",590,590,590
"10","Cambodia","mallika","MALLIKA Lot #1994","paul coffee & roastery lab","","paul coffee & roastery lab","150","memot","Oung Vuch Chhe",30,"30 kg","Taiwan Coffee Laboratory 台灣咖啡研究室","2024 / 2025","September 3rd, 2025","hsu,po-han 許博涵","","Completed","Natural / Dry",8.33,8.17,8.17,8.25,8.5,8.17,10,10,8.25,8.17,0,86,0.111,0,0,"Pale Yellow",3,"September 3rd, 2026","Taiwan Coffee Laboratory 台灣咖啡研究室","f7f30d0bd5e00112b74a6bcabc8386f034a229ea","4dcf80c2d9bdd4317f6ca412153f375d6c72df48","m",150,150,150
